[2025-12-08 14:34:50] debug: 	z2m: Removing old log directory '/app/data/log/2025-12-08.14-30-02'
[2025-12-08 14:34:50] info: 	z2m: Logging to console, file (filename: log.log)
[2025-12-08 14:34:50] debug: 	z2m: Loaded state from file /app/data/state.json
[2025-12-08 14:34:50] info: 	z2m: Starting Zigbee2MQTT version 2.6.1 (commit #e9889e5d20e8911550d5231bc0349567cc2bb9ce
)
[2025-12-08 14:34:50] info: 	z2m: Starting zigbee-herdsman (6.0.4)
[2025-12-08 14:34:50] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":52882,\"extendedPanID\":[91,54,107,140,218,36,87,151],\"channelList\":[11],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/app/data/database.db\",\"databaseBackupPath\":\"/app/data/database.db.backup\",\"backupPath\":\"/app/data/coordinator_backup.json\",\"serialPort\":{\"baudRate\":115200,\"rtscts\":false,\"path\":\"/dev/ttyUSB0\",\"adapter\":\"ember\"},\"adapter\":{\"disableLED\":false}}"'
[2025-12-08 14:34:50] debug: 	zh:adapter:discovery: Connected devices: [{"path":"/dev/ttyS0"},{"path":"/dev/ttyS1"},{"path":"/dev/ttyS10"},{"path":"/dev/ttyS11"},{"path":"/dev/ttyS12"},{"path":"/dev/ttyS13"},{"path":"/dev/ttyS14"},{"path":"/dev/ttyS15"},{"path":"/dev/ttyS16"},{"path":"/dev/ttyS17"},{"path":"/dev/ttyS18"},{"path":"/dev/ttyS19"},{"path":"/dev/ttyS2"},{"path":"/dev/ttyS20"},{"path":"/dev/ttyS21"},{"path":"/dev/ttyS22"},{"path":"/dev/ttyS23"},{"path":"/dev/ttyS24"},{"path":"/dev/ttyS25"},{"path":"/dev/ttyS26"},{"path":"/dev/ttyS27"},{"path":"/dev/ttyS28"},{"path":"/dev/ttyS29"},{"path":"/dev/ttyS3"},{"path":"/dev/ttyS30"},{"path":"/dev/ttyS31"},{"path":"/dev/ttyS4"},{"path":"/dev/ttyS5"},{"path":"/dev/ttyS6"},{"path":"/dev/ttyS7"},{"path":"/dev/ttyS8"},{"path":"/dev/ttyS9"},{"path":"/dev/ttyUSB0","manufacturer":"Itead","serialNumber":"6c77c37787c2ef118a9fc6138148b910","pnpId":"usb-Itead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_V2_6c77c37787c2ef118a9fc6138148b910-if00-port0","vendorId":"10c4","productId":"ea60"}]
[2025-12-08 14:34:50] info: 	zh:adapter:discovery: Matched adapter: {"path":"/dev/ttyUSB0","manufacturer":"Itead","serialNumber":"6c77c37787c2ef118a9fc6138148b910","pnpId":"usb-Itead_Sonoff_Zigbee_3.0_USB_Dongle_Plus_V2_6c77c37787c2ef118a9fc6138148b910-if00-port0","vendorId":"10c4","productId":"ea60"} => ember: 4
[2025-12-08 14:34:50] info: 	zh:ember: Using default stack config.
[2025-12-08 14:34:50] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","panID":52882,"extendedPanID":[91,54,107,140,218,36,87,151],"channelList":[11]},"serialPort":{"baudRate":115200,"rtscts":false,"path":"/dev/ttyUSB0","adapter":"ember"},"adapter":{"disableLED":false},"databasePath":"/app/data/database.db","databaseBackupPath":"/app/data/database.db.backup","backupPath":"/app/data/coordinator_backup.json"}'
[2025-12-08 14:34:50] info: 	zh:ember: ======== Ember Adapter Starting ========
[2025-12-08 14:34:50] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2025-12-08 14:34:50] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2025-12-08 14:34:50] info: 	zh:ember:uart:ash: RTS/CTS config is off, enabling software flow control.
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: Opening serial port with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false,"parity":"none","stopBits":1,"xon":true,"xoff":true}
[2025-12-08 14:34:50] info: 	zh:ember:uart:ash: Serial port opened
[2025-12-08 14:34:50] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: ---> [FRAME type=RST]
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 0/5000
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 100/5000
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 200/5000
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 300/5000
[2025-12-08 14:34:50] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 400/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 500/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 600/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 700/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 800/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 900/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 1000/5000
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=RSTACK]
[2025-12-08 14:34:51] info: 	zh:ember:uart:ash: ======== ASH connected ========
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=0)
[2025-12-08 14:34:51] info: 	zh:ember:uart:ash: ======== ASH started ========
[2025-12-08 14:34:51] info: 	zh:ember:ezsp: ======== EZSP started ========
[2025-12-08 14:34:51] debug: 	zh:ember:ezsp: ===> [FRAME: ID=0:"VERSION" Seq=0 Len=4]
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=0 frmRx=0](ackRx=0)
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=0 frmTx=1)
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=0](frmRx=0) Added to rxQueue
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=1)
[2025-12-08 14:34:51] debug: 	zh:ember:ezsp: <=== [FRAME: ID=0:"VERSION" Seq=0 Len=7]
[2025-12-08 14:34:51] debug: 	zh:ember:ezsp: ===> [FRAME: ID=0:"VERSION" Seq=1 Len=6]
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=1 frmRx=1](ackRx=1)
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=1 frmTx=2)
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=1](frmRx=1) Added to rxQueue
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=2)
[2025-12-08 14:34:51] debug: 	zh:ember:ezsp: <=== [FRAME: ID=0:"VERSION" Seq=1 Len=9]
[2025-12-08 14:34:51] info: 	zh:ember: Adapter EZSP protocol version (13) lower than Host. Switched.
[2025-12-08 14:34:51] debug: 	zh:ember: Adapter info: EZSPVersion=13 StackType=2 StackVersion=29760
[2025-12-08 14:34:51] debug: 	zh:ember:ezsp: ===> [FRAME: ID=170:"GET_VALUE" Seq=2 Len=6]
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=2 frmRx=2](ackRx=2)
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=2 frmTx=3)
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=2](frmRx=2) Added to rxQueue
[2025-12-08 14:34:51] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=3](ackRx=3)
[2025-12-08 14:34:51] debug: 	zh:ember:ezsp: <=== [FRAME: ID=170:"GET_VALUE" Seq=2 Len=14]
[2025-12-08 14:34:51] info: 	zh:ember: Adapter version info: {"ezsp":13,"revision":"7.4.4 [GA]","build":0,"major":7,"minor":4,"patch":4,"special":0,"type":170}
